Scheme Name,Date,NAV
Alpha Equity Fund,2018-06-02,96.8439
Alpha Equity Fund,2018-06-03,96.9801
Alpha Equity Fund,2018-06-04,97.1466
Alpha Equity Fund,2018-06-05,96.8094
Alpha Equity Fund,2018-06-06,97.7623
Alpha Equity Fund,2018-06-07,98.0192
Alpha Equity Fund,2018-06-08,97.4436
Alpha Equity Fund,2018-06-09,97.7919
Alpha Equity Fund,2018-06-10,97.3245
Alpha Equity Fund,2018-06-11,97.7381
Alpha Equity Fund,2018-06-12,98.3374
Alpha Equity Fund,2018-06-13,97.947
Alpha Equity Fund,2018-06-14,98.4487
Alpha Equity Fund,2018-06-15,98.6751
Alpha Equity Fund,2018-06-16,99.1061
Alpha Equity Fund,2018-06-17,100.0745
Alpha Equity Fund,2018-06-18,99.9718
Alpha Equity Fund,2018-06-19,99.615
Alpha Equity Fund,2018-06-20,99.1902
Alpha Equity Fund,2018-06-21,98.8023
Alpha Equity Fund,2018-06-22,98.7837
Alpha Equity Fund,2018-06-23,98.9743
Alpha Equity Fund,2018-06-24,99.1327
Alpha Equity Fund,2018-06-25,99.5663
Alpha Equity Fund,2018-06-26,99.5928
Alpha Equity Fund,2018-06-27,100.3395
Alpha Equity Fund,2018-06-28,100.2272
Alpha Equity Fund,2018-06-29,101.6073
Alpha Equity Fund,2018-06-30,101.9401
Alpha Equity Fund,2018-07-01,101.5315
Alpha Equity Fund,2018-07-02,101.0161
Alpha Equity Fund,2018-07-03,101.2773
Alpha Equity Fund,2018-07-04,101.1856
Alpha Equity Fund,2018-07-05,101.5626
Alpha Equity Fund,2018-07-06,101.8192
Alpha Equity Fund,2018-07-07,101.8028
Alpha Equity Fund,2018-07-08,101.3994
Alpha Equity Fund,2018-07-09,100.662
Alpha Equity Fund,2018-07-10,100.4587
Alpha Equity Fund,2018-07-11,100.9069
Alpha Equity Fund,2018-07-12,101.034
Alpha Equity Fund,2018-07-13,100.4311
Alpha Equity Fund,2018-07-14,100.5377
Alpha Equity Fund,2018-07-15,100.7504
Alpha Equity Fund,2018-07-16,100.3284
Alpha Equity Fund,2018-07-17,100.4253
Alpha Equity Fund,2018-07-18,100.4744
Alpha Equity Fund,2018-07-19,99.9229
Alpha Equity Fund,2018-07-20,100.1218
Alpha Equity Fund,2018-07-21,100.4222
Alpha Equity Fund,2018-07-22,100.9837
Alpha Equity Fund,2018-07-23,101.5306
Alpha Equity Fund,2018-07-24,100.8618
Alpha Equity Fund,2018-07-25,100.4129
Alpha Equity Fund,2018-07-26,100.6904
Alpha Equity Fund,2018-07-27,100.9673
Alpha Equity Fund,2018-07-28,101.2448
Alpha Equity Fund,2018-07-29,103.1912
Alpha Equity Fund,2018-07-30,103.4966
Alpha Equity Fund,2018-07-31,104.0844
Alpha Equity Fund,2018-08-01,104.5814
Alpha Equity Fund,2018-08-02,104.9271
Alpha Equity Fund,2018-08-03,104.7895
Alpha Equity Fund,2018-08-04,105.1889
Alpha Equity Fund,2018-08-05,104.8225
Alpha Equity Fund,2018-08-06,104.7241
Alpha Equity Fund,2018-08-07,104.5014
Alpha Equity Fund,2018-08-08,104.5624
Alpha Equity Fund,2018-08-09,105.7397
Alpha Equity Fund,2018-08-10,104.8261
Alpha Equity Fund,2018-08-11,105.1892
Alpha Equity Fund,2018-08-12,104.4028
Alpha Equity Fund,2018-08-13,104.1869
Alpha Equity Fund,2018-08-14,104.7514
Alpha Equity Fund,2018-08-15,104.8035
Alpha Equity Fund,2018-08-16,104.2846
Alpha Equity Fund,2018-08-17,103.947
Alpha Equity Fund,2018-08-18,104.3068
Alpha Equity Fund,2018-08-19,103.9616
Alpha Equity Fund,2018-08-20,104.0898
Alpha Equity Fund,2018-08-21,104.1326
Alpha Equity Fund,2018-08-22,103.8268
Alpha Equity Fund,2018-08-23,104.9188
Alpha Equity Fund,2018-08-24,105.2557
Alpha Equity Fund,2018-08-25,104.2632
Alpha Equity Fund,2018-08-26,104.3764
Alpha Equity Fund,2018-08-27,104.0655
Alpha Equity Fund,2018-08-28,104.5117
Alpha Equity Fund,2018-08-29,104.1355
Alpha Equity Fund,2018-08-30,104.0981
Alpha Equity Fund,2018-08-31,104.3706
Alpha Equity Fund,2018-09-01,104.8235
Alpha Equity Fund,2018-09-02,104.2433
Alpha Equity Fund,2018-09-03,104.0961
Alpha Equity Fund,2018-09-04,103.8786
Alpha Equity Fund,2018-09-05,103.5719
Alpha Equity Fund,2018-09-06,104.4746
Alpha Equity Fund,2018-09-07,104.6971
Alpha Equity Fund,2018-09-08,104.0867
Alpha Equity Fund,2018-09-09,104.5656
Alpha Equity Fund,2018-09-10,105.6467
Alpha Equity Fund,2018-09-11,106.1829
Alpha Equity Fund,2018-09-12,105.4433
Alpha Equity Fund,2018-09-13,105.2211
Alpha Equity Fund,2018-09-14,105.8746
Alpha Equity Fund,2018-09-15,105.5408
Alpha Equity Fund,2018-09-16,105.7827
Alpha Equity Fund,2018-09-17,106.19
Alpha Equity Fund,2018-09-18,105.7465
Alpha Equity Fund,2018-09-19,105.7368
Alpha Equity Fund,2018-09-20,104.1361
Alpha Equity Fund,2018-09-21,103.6439
Alpha Equity Fund,2018-09-22,103.5376
Alpha Equity Fund,2018-09-23,102.9338
Alpha Equity Fund,2018-09-24,103.77
Alpha Equity Fund,2018-09-25,103.0749
Alpha Equity Fund,2018-09-26,102.8749
Alpha Equity Fund,2018-09-27,102.9602
Alpha Equity Fund,2018-09-28,103.7009
Alpha Equity Fund,2018-09-29,103.0029
Alpha Equity Fund,2018-09-30,103.6045
Alpha Equity Fund,2018-10-01,103.6296
Alpha Equity Fund,2018-10-02,103.1589
Alpha Equity Fund,2018-10-03,103.4099
Alpha Equity Fund,2018-10-04,103.5295
Alpha Equity Fund,2018-10-05,103.2494
Alpha Equity Fund,2018-10-06,103.3043
Alpha Equity Fund,2018-10-07,103.1316
Alpha Equity Fund,2018-10-08,103.2084
Alpha Equity Fund,2018-10-09,103.5594
Alpha Equity Fund,2018-10-10,104.3724
Alpha Equity Fund,2018-10-11,103.7735
Alpha Equity Fund,2018-10-12,104.86
Alpha Equity Fund,2018-10-13,103.904
Alpha Equity Fund,2018-10-14,103.8481
Alpha Equity Fund,2018-10-15,104.1623
Alpha Equity Fund,2018-10-16,104.3228
Alpha Equity Fund,2018-10-17,104.0314
Alpha Equity Fund,2018-10-18,103.9473
Alpha Equity Fund,2018-10-19,103.7208
Alpha Equity Fund,2018-10-20,103.4462
Alpha Equity Fund,2018-10-21,103.891
Alpha Equity Fund,2018-10-22,104.0895
Alpha Equity Fund,2018-10-23,103.763
Alpha Equity Fund,2018-10-24,104.2328
Alpha Equity Fund,2018-10-25,104.4065
Alpha Equity Fund,2018-10-26,104.8329
Alpha Equity Fund,2018-10-27,105.1677
Alpha Equity Fund,2018-10-28,104.7732
Alpha Equity Fund,2018-10-29,104.5131
Alpha Equity Fund,2018-10-30,104.9068
Alpha Equity Fund,2018-10-31,105.232
Alpha Equity Fund,2018-11-01,105.2415
Alpha Equity Fund,2018-11-02,105.3202
Alpha Equity Fund,2018-11-03,105.979
Alpha Equity Fund,2018-11-04,105.7032
Alpha Equity Fund,2018-11-05,105.9968
Alpha Equity Fund,2018-11-06,105.9157
Alpha Equity Fund,2018-11-07,105.8268
Alpha Equity Fund,2018-11-08,106.3962
Alpha Equity Fund,2018-11-09,106.8289
Alpha Equity Fund,2018-11-10,107.2557
Alpha Equity Fund,2018-11-11,107.9284
Alpha Equity Fund,2018-11-12,107.9589
Alpha Equity Fund,2018-11-13,108.3199
Alpha Equity Fund,2018-11-14,108.1848
Alpha Equity Fund,2018-11-15,108.3669
Alpha Equity Fund,2018-11-16,108.3218
Alpha Equity Fund,2018-11-17,108.3903
Alpha Equity Fund,2018-11-18,108.7079
Alpha Equity Fund,2018-11-19,108.3187
Alpha Equity Fund,2018-11-20,109.3849
Alpha Equity Fund,2018-11-21,108.9019
Alpha Equity Fund,2018-11-22,108.3148
Alpha Equity Fund,2018-11-23,108.9139
Alpha Equity Fund,2018-11-24,109.3297
Alpha Equity Fund,2018-11-25,109.6618
Alpha Equity Fund,2018-11-26,109.996
Alpha Equity Fund,2018-11-27,110.0098
Alpha Equity Fund,2018-11-28,109.5812
Alpha Equity Fund,2018-11-29,109.6391
Alpha Equity Fund,2018-11-30,109.3205
Alpha Equity Fund,2018-12-01,109.8281
Alpha Equity Fund,2018-12-02,109.7746
Alpha Equity Fund,2018-12-03,109.3818
Alpha Equity Fund,2018-12-04,109.2411
Alpha Equity Fund,2018-12-05,109.4676
Alpha Equity Fund,2018-12-06,109.2057
Alpha Equity Fund,2018-12-07,108.8146
Alpha Equity Fund,2018-12-08,108.9565
Alpha Equity Fund,2018-12-09,109.0989
Alpha Equity Fund,2018-12-10,108.8655
Alpha Equity Fund,2018-12-11,108.6499
Alpha Equity Fund,2018-12-12,108.786
Alpha Equity Fund,2018-12-13,108.0819
Alpha Equity Fund,2018-12-14,107.3982
Alpha Equity Fund,2018-12-15,107.059
Alpha Equity Fund,2018-12-16,106.9723
Alpha Equity Fund,2018-12-17,107.1477
Alpha Equity Fund,2018-12-18,107.9054
Alpha Equity Fund,2018-12-19,108.3542
Alpha Equity Fund,2018-12-20,108.2942
Alpha Equity Fund,2018-12-21,108.3047
Alpha Equity Fund,2018-12-22,107.8235
Alpha Equity Fund,2018-12-23,107.8342
Alpha Equity Fund,2018-12-24,107.7099
Alpha Equity Fund,2018-12-25,107.8912
Alpha Equity Fund,2018-12-26,107.4976
Alpha Equity Fund,2018-12-27,107.7773
Alpha Equity Fund,2018-12-28,108.5637
Alpha Equity Fund,2018-12-29,108.5293
Alpha Equity Fund,2018-12-30,108.7501
Alpha Equity Fund,2018-12-31,109.1152
Alpha Equity Fund,2019-01-01,108.9346
Alpha Equity Fund,2019-01-02,109.0667
Alpha Equity Fund,2019-01-03,109.093
Alpha Equity Fund,2019-01-04,109.1618
Alpha Equity Fund,2019-01-05,108.7953
Alpha Equity Fund,2019-01-06,108.8275
Alpha Equity Fund,2019-01-07,109.0965
Alpha Equity Fund,2019-01-08,109.8421
Alpha Equity Fund,2019-01-09,110.3417
Alpha Equity Fund,2019-01-10,111.4383
Alpha Equity Fund,2019-01-11,111.0747
Alpha Equity Fund,2019-01-12,111.5308
Alpha Equity Fund,2019-01-13,111.6425
Alpha Equity Fund,2019-01-14,112.7574
Alpha Equity Fund,2019-01-15,112.3732
Alpha Equity Fund,2019-01-16,111.9734
Alpha Equity Fund,2019-01-17,111.6937
Alpha Equity Fund,2019-01-18,110.6517
Alpha Equity Fund,2019-01-19,110.4089
Alpha Equity Fund,2019-01-20,110.0493
Alpha Equity Fund,2019-01-21,110.1445
Alpha Equity Fund,2019-01-22,110.3354
Alpha Equity Fund,2019-01-23,111.2935
Alpha Equity Fund,2019-01-24,111.7887
Alpha Equity Fund,2019-01-25,111.5202
Alpha Equity Fund,2019-01-26,111.091
Alpha Equity Fund,2019-01-27,111.357
Alpha Equity Fund,2019-01-28,110.7169
Alpha Equity Fund,2019-01-29,111.6526
Alpha Equity Fund,2019-01-30,112.2623
Alpha Equity Fund,2019-01-31,112.0477
Alpha Equity Fund,2019-02-01,111.2111
Alpha Equity Fund,2019-02-02,111.9081
Alpha Equity Fund,2019-02-03,111.8708
Alpha Equity Fund,2019-02-04,112.5097
Beta Bond Fund,2018-01-01,99.2228
Beta Bond Fund,2018-01-02,98.9431
Beta Bond Fund,2018-01-03,98.9657
Beta Bond Fund,2018-01-04,99.0092
Beta Bond Fund,2018-01-05,98.8042
Beta Bond Fund,2018-01-06,99.1356
Beta Bond Fund,2018-01-07,98.6218
Beta Bond Fund,2018-01-08,98.5706
Beta Bond Fund,2018-01-09,98.6508
Beta Bond Fund,2018-01-10,98.928
Beta Bond Fund,2018-01-11,99.3038
Beta Bond Fund,2018-01-12,98.7615
Beta Bond Fund,2018-01-13,98.0144
Beta Bond Fund,2018-01-14,98.6732
Beta Bond Fund,2018-01-15,98.8594
Beta Bond Fund,2018-01-16,98.5052
Beta Bond Fund,2018-01-17,99.3007
Beta Bond Fund,2018-01-18,99.3786
Beta Bond Fund,2018-01-19,99.9882
Beta Bond Fund,2018-01-20,100.042
Beta Bond Fund,2018-01-21,101.0923
Beta Bond Fund,2018-01-22,101.99
Beta Bond Fund,2018-01-23,101.8855
Beta Bond Fund,2018-01-24,102.3913
Beta Bond Fund,2018-01-25,102.734
Beta Bond Fund,2018-01-26,103.4383
Beta Bond Fund,2018-01-27,102.9759
Beta Bond Fund,2018-01-28,103.3389
Beta Bond Fund,2018-01-29,103.8881
Beta Bond Fund,2018-01-30,103.0287
Beta Bond Fund,2018-01-31,102.4571
Beta Bond Fund,2018-02-01,101.4575
Beta Bond Fund,2018-02-02,101.3428
Beta Bond Fund,2018-02-03,101.7216
Beta Bond Fund,2018-02-04,102.4927
Beta Bond Fund,2018-02-05,102.5498
Beta Bond Fund,2018-02-06,103.3841
Beta Bond Fund,2018-02-07,102.714
Beta Bond Fund,2018-02-08,101.8823
Beta Bond Fund,2018-02-09,101.8746
Beta Bond Fund,2018-02-10,102.0866
Beta Bond Fund,2018-02-11,102.0903
Beta Bond Fund,2018-02-12,101.0765
Beta Bond Fund,2018-02-13,101.052
Beta Bond Fund,2018-02-14,100.4197
Beta Bond Fund,2018-02-15,100.7746
Beta Bond Fund,2018-02-16,100.9779
Beta Bond Fund,2018-02-17,100.5279
Beta Bond Fund,2018-02-18,100.291
Beta Bond Fund,2018-02-19,99.7814
Beta Bond Fund,2018-02-20,99.7701
Beta Bond Fund,2018-02-21,100.2676
Beta Bond Fund,2018-02-22,99.7948
Beta Bond Fund,2018-02-23,100.0668
Beta Bond Fund,2018-02-24,99.8217
Beta Bond Fund,2018-02-25,99.4452
Beta Bond Fund,2018-02-26,99.4117
Beta Bond Fund,2018-02-27,98.9141
Beta Bond Fund,2018-02-28,98.6573
Beta Bond Fund,2018-03-01,98.0783
Beta Bond Fund,2018-03-02,99.0807
Beta Bond Fund,2018-03-03,99.1183
Beta Bond Fund,2018-03-04,98.7885
Beta Bond Fund,2018-03-05,98.9154
Beta Bond Fund,2018-03-06,98.8793
Beta Bond Fund,2018-03-07,98.7888
Beta Bond Fund,2018-03-08,99.1159
Beta Bond Fund,2018-03-09,99.5146
Beta Bond Fund,2018-03-10,99.2694
Beta Bond Fund,2018-03-11,99.0015
Beta Bond Fund,2018-03-12,98.8839
Beta Bond Fund,2018-03-13,97.753
Beta Bond Fund,2018-03-14,97.0154
Beta Bond Fund,2018-03-15,97.7188
Beta Bond Fund,2018-03-16,98.5613
Beta Bond Fund,2018-03-17,98.4568
Beta Bond Fund,2018-03-18,98.7651
Beta Bond Fund,2018-03-19,98.9407
Beta Bond Fund,2018-03-20,100.5001
Beta Bond Fund,2018-03-21,101.0799
Beta Bond Fund,2018-03-22,101.036
Beta Bond Fund,2018-03-23,100.5782
Beta Bond Fund,2018-03-24,99.795
Beta Bond Fund,2018-03-25,99.9167
Beta Bond Fund,2018-03-26,99.5585
Beta Bond Fund,2018-03-27,98.8674
Beta Bond Fund,2018-03-28,98.5641
Beta Bond Fund,2018-03-29,98.0433
Beta Bond Fund,2018-03-30,98.9069
Beta Bond Fund,2018-03-31,99.3677
Beta Bond Fund,2018-04-01,99.3837
Beta Bond Fund,2018-04-02,100.1437
Beta Bond Fund,2018-04-03,100.2024
Beta Bond Fund,2018-04-04,99.7918
Beta Bond Fund,2018-04-05,100.5733
Beta Bond Fund,2018-04-06,100.8628
Beta Bond Fund,2018-04-07,100.3642
Beta Bond Fund,2018-04-08,100.289
Beta Bond Fund,2018-04-09,99.8712
Beta Bond Fund,2018-04-10,99.1998
Beta Bond Fund,2018-04-11,99.6829
Beta Bond Fund,2018-04-12,100.6576
Beta Bond Fund,2018-04-13,99.9783
Beta Bond Fund,2018-04-14,100.2798
Beta Bond Fund,2018-04-15,99.9745
Beta Bond Fund,2018-04-16,99.7509
Beta Bond Fund,2018-04-17,99.4747
Beta Bond Fund,2018-04-18,99.0627
Beta Bond Fund,2018-04-19,99.107
Beta Bond Fund,2018-04-20,98.7115
Beta Bond Fund,2018-04-21,98.8667
Beta Bond Fund,2018-04-22,98.8616
Beta Bond Fund,2018-04-23,98.7621
Beta Bond Fund,2018-04-24,98.3283
Beta Bond Fund,2018-04-25,98.06
Beta Bond Fund,2018-04-26,98.4576
Beta Bond Fund,2018-04-27,98.7281
Beta Bond Fund,2018-04-28,98.2593
Beta Bond Fund,2018-04-29,98.329
Beta Bond Fund,2018-04-30,98.7247
Beta Bond Fund,2018-05-01,97.91
Beta Bond Fund,2018-05-02,98.2017
Beta Bond Fund,2018-05-03,97.8904
Beta Bond Fund,2018-05-04,98.1957
Beta Bond Fund,2018-05-05,97.834
Beta Bond Fund,2018-05-06,96.9516
Beta Bond Fund,2018-05-07,96.1578
Beta Bond Fund,2018-05-08,96.2019
Beta Bond Fund,2018-05-09,96.3517
Beta Bond Fund,2018-05-10,95.9196
Beta Bond Fund,2018-05-11,96.2589
Beta Bond Fund,2018-05-12,95.4481
Beta Bond Fund,2018-05-13,95.4351
Beta Bond Fund,2018-05-14,94.8495
Beta Bond Fund,2018-05-15,94.5436
Beta Bond Fund,2018-05-16,94.5873
Beta Bond Fund,2018-05-17,94.1771
Beta Bond Fund,2018-05-18,94.0048
Beta Bond Fund,2018-05-19,94.528
Beta Bond Fund,2018-05-20,94.2595
Beta Bond Fund,2018-05-21,94.6974
Beta Bond Fund,2018-05-22,94.1525
Beta Bond Fund,2018-05-23,94.4374
Beta Bond Fund,2018-05-24,95.1782
Beta Bond Fund,2018-05-25,93.9624
Beta Bond Fund,2018-05-26,93.584
Beta Bond Fund,2018-05-27,93.8925
Beta Bond Fund,2018-05-28,93.811
Beta Bond Fund,2018-05-29,94.0165
Beta Bond Fund,2018-05-30,93.7345
Beta Bond Fund,2018-05-31,93.7978
Beta Bond Fund,2018-06-01,93.74
Beta Bond Fund,2018-06-02,94.3439
Beta Bond Fund,2018-06-03,94.4911
Beta Bond Fund,2018-06-04,94.6799
Beta Bond Fund,2018-06-05,94.494
Beta Bond Fund,2018-06-06,94.2702
Beta Bond Fund,2018-06-07,94.0739
Beta Bond Fund,2018-06-08,94.2911
Beta Bond Fund,2018-06-09,94.1006
Beta Bond Fund,2018-06-10,94.2655
Beta Bond Fund,2018-06-11,95.3232
Beta Bond Fund,2018-06-12,95.7788
Beta Bond Fund,2018-06-13,95.6358
Beta Bond Fund,2018-06-14,96.2564
Beta Bond Fund,2018-06-15,96.0723
Beta Bond Fund,2018-06-16,95.0733
Beta Bond Fund,2018-06-17,94.5892
Beta Bond Fund,2018-06-18,93.6738
Beta Bond Fund,2018-06-19,93.5181
Beta Bond Fund,2018-06-20,93.5473
Beta Bond Fund,2018-06-21,94.4055
Beta Bond Fund,2018-06-22,94.589
Beta Bond Fund,2018-06-23,94.4994
Beta Bond Fund,2018-06-24,94.9341
Beta Bond Fund,2018-06-25,93.8485
Beta Bond Fund,2018-06-26,93.9864
Beta Bond Fund,2018-06-27,94.3918
Beta Bond Fund,2018-06-28,93.6725
Beta Bond Fund,2018-06-29,94.2644
Beta Bond Fund,2018-06-30,94.4536
Beta Bond Fund,2018-07-01,94.266
Beta Bond Fund,2018-07-02,94.6024
Beta Bond Fund,2018-07-03,95.7577
Beta Bond Fund,2018-07-04,95.8686
Beta Bond Fund,2018-07-05,96.0128
Beta Bond Fund,2018-07-06,95.8031
Beta Bond Fund,2018-07-07,95.3981
Beta Bond Fund,2018-07-08,95.8333
Beta Bond Fund,2018-07-09,95.4253
Beta Bond Fund,2018-07-10,95.4811
Beta Bond Fund,2018-07-11,95.2622
Beta Bond Fund,2018-07-12,95.5217
Beta Bond Fund,2018-07-13,95.7086
Beta Bond Fund,2018-07-14,96.2473
Beta Bond Fund,2018-07-15,96.0123
Beta Bond Fund,2018-07-16,95.8974
Beta Bond Fund,2018-07-17,95.428
Beta Bond Fund,2018-07-18,95.2258
Beta Bond Fund,2018-07-19,95.4345
Beta Bond Fund,2018-07-20,95.833
Beta Bond Fund,2018-07-21,95.3919
Beta Bond Fund,2018-07-22,95.8467
Beta Bond Fund,2018-07-23,96.5445
Beta Bond Fund,2018-07-24,96.7712
Beta Bond Fund,2018-07-25,97.7296
Beta Bond Fund,2018-07-26,97.3628
Beta Bond Fund,2018-07-27,96.7604
Beta Bond Fund,2018-07-28,95.8911
Beta Bond Fund,2018-07-29,96.6591
Beta Bond Fund,2018-07-30,97.0063
Beta Bond Fund,2018-07-31,96.9985
Beta Bond Fund,2018-08-01,97.1585
Beta Bond Fund,2018-08-02,96.6157
Beta Bond Fund,2018-08-03,97.8586
Beta Bond Fund,2018-08-04,97.9432
Beta Bond Fund,2018-08-05,98.0179
Beta Bond Fund,2018-08-06,98.4008
Beta Bond Fund,2018-08-07,98.6613
